Date,Start_Hour,End_Hour,Source,Season,Production,Day_of_Year,Day_Name,Month_Name
4/15/2022,22,23,Wind,Spring,5750,105,Friday,April
12/22/2024,9,10,Wind,Winter,19398,357,Sunday,December
2/5/2021,14,15,Wind,Winter,3021,36,Friday,February
7/12/2022,14,15,Solar,Summer,6997,193,Tuesday,July
6/15/2020,23,0,Wind,Summer,2022,167,Monday,June
10/23/2023,9,10,Wind,Fall,8658,296,Monday,October
2/2/2023,8,9,Wind,Winter,6057,33,Thursday,February
7/28/2024,14,15,Solar,Summer,5654,210,Sunday,July
10/9/2024,13,14,Wind,Fall,12421,283,Wednesday,October
2/15/2023,10,11,Solar,Winter,6270,46,Wednesday,February
11/18/2021,14,15,Solar,Fall,3326,322,Thursday,November
6/28/2022,19,20,Wind,Summer,3348,179,Tuesday,June
1/12/2024,1,2,Wind,Winter,6624,12,Friday,January
6/16/2020,5,6,Wind,Summer,1461,168,Tuesday,June
7/7/2020,7,8,Wind,Summer,1906,189,Tuesday,July
9/12/2022,10,11,Solar,Fall,4987,255,Monday,September
6/6/2023,14,15,Solar,Summer,8282,157,Tuesday,June
12/31/2023,16,17,Wind,Winter,17690,365,Sunday,December
2/22/2025,3,4,Wind,Winter,10776,53,Saturday,February
2/12/2020,23,0,Wind,Winter,5618,43,Wednesday,February
7/27/2025,4,5,Wind,Summer,1887,208,Sunday,July
10/28/2023,8,9,Wind,Fall,12258,301,Saturday,October
5/22/2025,14,15,Solar,Spring,6175,142,Thursday,May
12/23/2024,2,3,Wind,Winter,17302,358,Monday,December
8/17/2025,22,23,Wind,Summer,7604,229,Sunday,August
4/23/2024,3,4,Wind,Spring,4610,114,Tuesday,April
3/26/2021,17,18,Wind,Spring,9646,85,Friday,March
12/4/2021,15,16,Wind,Winter,12295,338,Saturday,December
2/12/2021,15,16,Wind,Winter,9320,43,Friday,February
8/8/2023,21,22,Wind,Summer,2130,220,Tuesday,August
1/20/2021,0,1,Wind,Winter,11737,20,Wednesday,January
8/15/2025,9,10,Solar,Summer,6084,227,Friday,August
3/31/2025,6,7,Wind,Spring,5157,90,Monday,March
11/11/2022,2,3,Wind,Fall,2683,315,Friday,November
7/9/2022,18,19,Wind,Summer,8525,190,Saturday,July
9/5/2023,0,1,Wind,Fall,7414,248,Tuesday,September
11/19/2022,10,11,Solar,Fall,4418,323,Saturday,November
10/23/2023,17,18,Wind,Fall,5596,296,Monday,October
1/13/2023,1,2,Wind,Winter,13913,13,Friday,January
4/21/2020,23,0,Wind,Spring,4642,112,Tuesday,April
12/19/2020,11,12,Wind,Winter,10820,354,Saturday,December
1/6/2021,6,7,Wind,Winter,1187,6,Wednesday,January
6/12/2025,3,4,Wind,Summer,6737,163,Thursday,June
6/1/2020,16,17,Solar,Summer,4570,153,Monday,June
12/29/2020,22,23,Wind,Winter,3005,364,Tuesday,December
3/8/2023,9,10,Wind,Spring,13908,67,Wednesday,March
2/19/2020,2,3,Wind,Winter,11122,50,Wednesday,February
7/30/2023,20,21,Wind,Summer,7195,211,Sunday,July
1/23/2025,6,7,Wind,Winter,5894,23,Thursday,January
5/11/2025,19,20,Wind,Spring,4469,131,Sunday,May
7/15/2020,18,19,Wind,Summer,3632,197,Wednesday,July
4/23/2021,16,17,Wind,Spring,8565,113,Friday,April
7/2/2023,18,19,Wind,Summer,6804,183,Sunday,July
4/13/2022,22,23,Wind,Spring,1032,103,Wednesday,April
12/14/2021,23,0,Wind,Winter,1053,348,Tuesday,December
1/22/2021,18,19,Wind,Winter,4478,22,Friday,January
12/30/2024,14,15,Solar,Winter,2676,365,Monday,December
1/19/2020,7,8,Wind,Winter,5048,19,Sunday,January
1/8/2021,0,1,Wind,Winter,1507,8,Friday,January
8/3/2023,12,13,Wind,Summer,13262,215,Thursday,August
10/25/2025,4,5,Wind,Fall,13923,298,Saturday,October
5/13/2023,7,8,Wind,Spring,4856,133,Saturday,May
7/21/2023,22,23,Wind,Summer,3097,202,Friday,July
10/3/2024,1,2,Wind,Fall,4843,277,Thursday,October
3/30/2023,23,0,Wind,Spring,12402,89,Thursday,March
7/8/2022,12,13,Solar,Summer,8283,189,Friday,July
8/18/2021,1,2,Wind,Summer,2488,230,Wednesday,August
6/29/2023,5,6,Wind,Summer,748,180,Thursday,June
5/28/2021,23,0,Wind,Spring,3329,148,Friday,May
5/11/2024,7,8,Wind,Spring,4906,132,Saturday,May
4/8/2022,19,20,Wind,Spring,9607,98,Friday,April
7/27/2025,21,22,Wind,Summer,4242,208,Sunday,July
10/14/2023,11,12,Solar,Fall,5525,287,Saturday,October
10/12/2020,11,12,Solar,Fall,3848,286,Monday,October
1/18/2025,23,0,Wind,Winter,1679,18,Saturday,January
5/31/2023,12,13,Wind,Spring,12628,151,Wednesday,May
9/21/2021,16,17,Solar,Fall,4522,264,Tuesday,September
11/21/2023,21,22,Wind,Fall,6769,325,Tuesday,November
4/12/2024,12,13,Solar,Spring,8049,103,Friday,April
3/17/2024,9,10,Wind,Spring,6278,77,Sunday,March
4/5/2024,4,5,Wind,Spring,10352,96,Friday,April
11/1/2022,20,21,Wind,Fall,12061,305,Tuesday,November
5/27/2024,21,22,Wind,Spring,2538,148,Monday,May
7/15/2021,4,5,Wind,Summer,7756,196,Thursday,July
3/5/2024,15,16,Wind,Spring,8619,65,Tuesday,March
10/10/2025,13,14,Solar,Fall,9343,283,Friday,October
6/21/2023,11,12,Solar,Summer,4377,172,Wednesday,June
10/29/2023,10,11,Wind,Fall,15308,302,Sunday,October
5/21/2020,17,18,Solar,Spring,2989,142,Thursday,May
6/10/2023,0,1,Wind,Summer,3204,161,Saturday,June
8/20/2025,4,5,Wind,Summer,3073,232,Wednesday,August
4/16/2024,0,1,Wind,Spring,13826,107,Tuesday,April
3/5/2025,17,18,Solar,Spring,3558,64,Wednesday,March
11/15/2025,14,15,Solar,Fall,5714,319,Saturday,November
3/12/2022,21,22,Wind,Spring,9414,71,Saturday,March
6/4/2024,3,4,Wind,Summer,456,156,Tuesday,June
7/28/2020,17,18,Wind,Summer,6769,210,Tuesday,July
11/6/2021,21,22,Wind,Fall,6134,310,Saturday,November
4/25/2025,1,2,Wind,Spring,3293,115,Friday,April
7/25/2021,5,6,Wind,Summer,2988,206,Sunday,July
11/1/2022,12,13,Wind,Fall,15812,305,Tuesday,November
11/10/2024,19,20,Wind,Fall,1932,315,Sunday,November
4/19/2021,5,6,Wind,Spring,1278,109,Monday,April
3/29/2021,11,12,Solar,Spring,5469,88,Monday,March
3/12/2021,4,5,Wind,Spring,9635,71,Friday,March
6/7/2025,23,0,Wind,Summer,12317,158,Saturday,June
9/2/2023,22,23,Wind,Fall,4625,245,Saturday,September
10/27/2023,20,21,Wind,Fall,9132,300,Friday,October
8/10/2021,22,23,Wind,Summer,590,222,Tuesday,August
9/29/2021,8,9,Wind,Fall,7118,272,Wednesday,September
5/31/2022,18,19,Wind,Spring,5487,151,Tuesday,May
6/25/2021,4,5,Wind,Summer,1451,176,Friday,June
5/27/2022,11,12,Solar,Spring,6179,147,Friday,May
3/3/2024,22,23,Wind,Spring,5144,63,Sunday,March
12/7/2022,2,3,Wind,Winter,2507,341,Wednesday,December
8/17/2021,21,22,Wind,Summer,3684,229,Tuesday,August
3/24/2020,16,17,Wind,Spring,6133,84,Tuesday,March
10/12/2025,18,19,Wind,Fall,5244,285,Sunday,October
7/24/2023,17,18,Wind,Summer,11156,205,Monday,July
7/8/2024,11,12,Solar,Summer,8159,190,Monday,July
7/16/2022,14,15,Solar,Summer,8810,197,Saturday,July
4/1/2024,1,2,Wind,Spring,4949,92,Monday,April
1/14/2024,18,19,Wind,Winter,1253,14,Sunday,January
1/8/2020,13,14,Wind,Winter,4927,8,Wednesday,January
11/12/2021,4,5,Wind,Fall,1575,316,Friday,November
11/19/2024,13,14,Wind,Fall,20597,324,Tuesday,November
8/17/2020,2,3,Wind,Summer,1750,230,Monday,August
6/11/2023,19,20,Wind,Summer,4575,162,Sunday,June
8/21/2025,20,21,Wind,Summer,7365,233,Thursday,August
8/26/2021,4,5,Wind,Summer,2542,238,Thursday,August
9/10/2020,19,20,Wind,Fall,1247,254,Thursday,September
7/13/2021,23,0,Wind,Summer,5065,194,Tuesday,July
4/5/2022,19,20,Wind,Spring,7386,95,Tuesday,April
6/13/2020,1,2,Wind,Summer,3366,165,Saturday,June
10/18/2023,17,18,Wind,Fall,14535,291,Wednesday,October
8/22/2020,10,11,Wind,Summer,9129,235,Saturday,August
8/3/2021,2,3,Wind,Summer,1153,215,Tuesday,August
7/23/2023,17,18,Wind,Summer,12004,204,Sunday,July
7/2/2021,8,9,Solar,Summer,1628,183,Friday,July
6/3/2022,15,16,Solar,Summer,5923,154,Friday,June
12/4/2021,8,9,Wind,Winter,8370,338,Saturday,December
10/9/2023,14,15,Solar,Fall,6407,282,Monday,October
9/15/2021,11,12,Solar,Fall,3648,258,Wednesday,September
6/18/2021,7,8,Wind,Summer,3517,169,Friday,June
9/10/2025,1,2,Wind,Fall,3815,253,Wednesday,September
4/11/2020,9,10,Solar,Spring,2530,102,Saturday,April
1/26/2024,1,2,Wind,Winter,7990,26,Friday,January
3/27/2025,4,5,Wind,Spring,3169,86,Thursday,March
9/21/2025,6,7,Wind,Fall,3184,264,Sunday,September
7/13/2024,20,21,Solar,Summer,1101,195,Saturday,July
11/14/2021,3,4,Wind,Fall,2421,318,Sunday,November
7/1/2022,23,0,Wind,Summer,863,182,Friday,July
7/10/2023,3,4,Wind,Summer,1054,191,Monday,July
11/23/2022,20,21,Wind,Fall,12891,327,Wednesday,November
12/12/2024,15,16,Wind,Winter,3478,347,Thursday,December
4/27/2025,19,20,Wind,Spring,2748,117,Sunday,April
1/17/2023,16,17,Wind,Winter,4665,17,Tuesday,January
4/3/2022,1,2,Wind,Spring,5119,93,Sunday,April
10/18/2020,4,5,Wind,Fall,672,292,Sunday,October
10/11/2021,17,18,Wind,Fall,4388,284,Monday,October
11/16/2023,16,17,Wind,Fall,13386,320,Thursday,November
3/9/2025,3,4,Wind,Spring,9672,68,Sunday,March
12/31/2022,12,13,Wind,Winter,17332,365,Saturday,December
8/16/2023,13,14,Solar,Summer,6675,228,Wednesday,August
1/6/2021,19,20,Wind,Winter,495,6,Wednesday,January
2/8/2025,9,10,Wind,Winter,8261,39,Saturday,February
9/26/2022,7,8,Wind,Fall,6086,269,Monday,September
11/10/2025,0,1,Wind,Fall,6004,314,Monday,November
2/1/2020,18,19,Wind,Winter,10703,32,Saturday,February
4/22/2022,18,19,Wind,Spring,4256,112,Friday,April
1/24/2023,21,22,Wind,Winter,2611,24,Tuesday,January
5/5/2025,7,8,Wind,Spring,9361,125,Monday,May
5/8/2020,12,13,Solar,Spring,4778,129,Friday,May
6/16/2021,8,9,Solar,Summer,2085,167,Wednesday,June
2/16/2020,22,23,Wind,Winter,11230,47,Sunday,February
7/4/2023,10,11,Solar,Summer,5603,185,Tuesday,July
10/26/2023,15,16,Wind,Fall,6529,299,Thursday,October
2/28/2024,3,4,Wind,Winter,3223,59,Wednesday,February
11/29/2022,10,11,Solar,Fall,2249,333,Tuesday,November
1/6/2020,20,21,Wind,Winter,6469,6,Monday,January
11/9/2025,4,5,Wind,Fall,2430,313,Sunday,November
5/12/2024,6,7,Wind,Spring,3904,133,Sunday,May
4/30/2021,22,23,Wind,Spring,1359,120,Friday,April
8/27/2023,4,5,Wind,Summer,2263,239,Sunday,August
7/27/2024,9,10,Solar,Summer,3124,209,Saturday,July
9/26/2025,12,13,Solar,Fall,5213,269,Friday,September
4/1/2022,3,4,Wind,Spring,9699,91,Friday,April
5/12/2020,12,13,Wind,Spring,5747,133,Tuesday,May
10/7/2024,16,17,Wind,Fall,7311,281,Monday,October
6/30/2022,13,14,Solar,Summer,4931,181,Thursday,June
9/20/2024,20,21,Wind,Fall,3245,264,Friday,September
8/10/2024,16,17,Solar,Summer,4012,223,Saturday,August
4/30/2023,4,5,Wind,Spring,3814,120,Sunday,April
1/23/2025,5,6,Wind,Winter,6304,23,Thursday,January
12/3/2022,12,13,Wind,Winter,6285,337,Saturday,December
4/24/2025,7,8,Wind,Spring,2699,114,Thursday,April
10/2/2025,18,19,Wind,Fall,2959,275,Thursday,October
8/9/2020,11,12,Solar,Summer,3372,222,Sunday,August
7/10/2020,19,20,Wind,Summer,4171,192,Friday,July
12/26/2023,4,5,Wind,Winter,7229,360,Tuesday,December
4/28/2024,0,1,Wind,Spring,10556,119,Sunday,April
10/12/2024,13,14,Wind,Fall,6790,286,Saturday,October
11/25/2022,16,17,Wind,Fall,3351,329,Friday,November
1/14/2023,15,16,Wind,Winter,17545,14,Saturday,January
11/8/2022,20,21,Wind,Fall,11901,312,Tuesday,November
8/29/2024,19,20,Wind,Summer,2703,242,Thursday,August
3/16/2025,9,10,Wind,Spring,9888,75,Sunday,March
1/19/2020,3,4,Wind,Winter,4619,19,Sunday,January
3/13/2025,0,1,Wind,Spring,2661,72,Thursday,March
4/4/2024,19,20,Wind,Spring,8108,95,Thursday,April
12/5/2023,18,19,Wind,Winter,6714,339,Tuesday,December
1/16/2020,6,7,Wind,Winter,4609,16,Thursday,January
10/15/2025,19,20,Wind,Fall,5080,288,Wednesday,October
6/3/2020,16,17,Solar,Summer,3604,155,Wednesday,June
5/11/2024,8,9,Wind,Spring,5428,132,Saturday,May
9/25/2020,7,8,Wind,Fall,10168,269,Friday,September
10/5/2022,10,11,Wind,Fall,9771,278,Wednesday,October
7/2/2024,4,5,Wind,Summer,2631,184,Tuesday,July
4/21/2023,20,21,Wind,Spring,2543,111,Friday,April
12/5/2024,8,9,Wind,Winter,14145,340,Thursday,December
8/7/2025,18,19,Solar,Summer,5653,219,Thursday,August
4/5/2020,11,12,Wind,Spring,7848,96,Sunday,April
1/26/2024,4,5,Wind,Winter,9936,26,Friday,January
9/3/2023,14,15,Solar,Fall,9204,246,Sunday,September
4/12/2022,22,23,Wind,Spring,2275,102,Tuesday,April
12/29/2020,13,14,Wind,Winter,5165,364,Tuesday,December
9/8/2023,9,10,Solar,Fall,3666,251,Friday,September
4/26/2024,13,14,Solar,Spring,6436,117,Friday,April
4/14/2024,15,16,Solar,Spring,4067,105,Sunday,April
9/7/2020,13,14,Solar,Fall,5438,251,Monday,September
2/18/2022,21,22,Wind,Winter,13040,49,Friday,February
5/21/2020,5,6,Wind,Spring,1502,142,Thursday,May
5/4/2020,14,15,Solar,Spring,5337,125,Monday,May
6/10/2023,9,10,Solar,Summer,4098,161,Saturday,June
4/3/2024,11,12,Wind,Spring,15839,94,Wednesday,April
5/23/2020,7,8,Wind,Spring,3360,144,Saturday,May
9/4/2020,7,8,Wind,Fall,1232,248,Friday,September
10/7/2020,12,13,Wind,Fall,8717,281,Wednesday,October
12/2/2023,5,6,Wind,Winter,3249,336,Saturday,December
6/28/2024,16,17,Solar,Summer,6716,180,Friday,June
8/22/2021,21,22,Wind,Summer,3345,234,Sunday,August
2/17/2023,9,10,Wind,Winter,9868,48,Friday,February
2/16/2022,13,14,Wind,Winter,16745,47,Wednesday,February
12/3/2022,2,3,Wind,Winter,6803,337,Saturday,December
4/8/2021,14,15,Solar,Spring,5202,98,Thursday,April
1/5/2025,15,16,Wind,Winter,19348,5,Sunday,January
10/8/2024,8,9,Wind,Fall,10350,282,Tuesday,October
2/12/2022,6,7,Wind,Winter,4558,43,Saturday,February
7/7/2023,5,6,Wind,Summer,4486,188,Friday,July
7/14/2020,21,22,Wind,Summer,2101,196,Tuesday,July
12/9/2022,20,21,Wind,Winter,2064,343,Friday,December
7/5/2022,0,1,Wind,Summer,3667,186,Tuesday,July
11/20/2021,18,19,Wind,Fall,210,324,Saturday,November
2/9/2023,8,9,Wind,Winter,1322,40,Thursday,February
3/1/2025,23,0,Wind,Spring,10187,60,Saturday,March
7/25/2023,9,10,Wind,Summer,7186,206,Tuesday,July
12/25/2024,10,11,Solar,Winter,2874,360,Wednesday,December
5/8/2024,7,8,Wind,Spring,5427,129,Wednesday,May
10/3/2021,15,16,Wind,Fall,8606,276,Sunday,October
4/18/2024,23,0,Wind,Spring,3786,109,Thursday,April
11/4/2023,7,8,Wind,Fall,15504,308,Saturday,November
5/25/2022,22,23,Wind,Spring,5875,145,Wednesday,May
1/22/2022,20,21,Wind,Winter,2136,22,Saturday,January
8/18/2022,13,14,Solar,Summer,5355,230,Thursday,August
8/14/2025,9,10,Solar,Summer,4159,226,Thursday,August
1/1/2023,9,10,Wind,Winter,11283,1,Sunday,January
1/20/2024,18,19,Wind,Winter,4846,20,Saturday,January
11/17/2021,18,19,Wind,Fall,1887,321,Wednesday,November
9/29/2020,2,3,Wind,Fall,2642,273,Tuesday,September
8/8/2020,23,0,Wind,Summer,2390,221,Saturday,August
1/18/2024,18,19,Wind,Winter,4246,18,Thursday,January
10/18/2024,0,1,Wind,Fall,4798,292,Friday,October
6/27/2025,22,23,Wind,Summer,1584,178,Friday,June
2/11/2025,8,9,Wind,Winter,3812,42,Tuesday,February
8/25/2023,16,17,Wind,Summer,9893,237,Friday,August
12/2/2021,5,6,Wind,Winter,6952,336,Thursday,December
1/25/2022,7,8,Wind,Winter,328,25,Tuesday,January
9/26/2022,14,15,Wind,Fall,15890,269,Monday,September
12/17/2022,16,17,Wind,Winter,2347,351,Saturday,December
2/21/2020,8,9,Wind,Winter,4193,52,Friday,February
9/13/2021,19,20,Wind,Fall,1554,256,Monday,September
7/12/2020,14,15,Solar,Summer,5689,194,Sunday,July
5/29/2023,9,10,Wind,Spring,9264,149,Monday,May
8/30/2024,4,5,Wind,Summer,2456,243,Friday,August
7/28/2021,14,15,Wind,Summer,10176,209,Wednesday,July
3/29/2023,5,6,Wind,Spring,4271,88,Wednesday,March
5/11/2021,19,20,Wind,Spring,6405,131,Tuesday,May
1/9/2025,15,16,Wind,Winter,10749,9,Thursday,January
1/5/2022,2,3,Wind,Winter,7802,5,Wednesday,January
8/26/2024,23,0,Wind,Summer,2045,239,Monday,August
2/19/2023,14,15,Solar,Winter,7077,50,Sunday,February
6/23/2025,18,19,Wind,Summer,12740,174,Monday,June
8/4/2020,19,20,Wind,Summer,2445,217,Tuesday,August
2/11/2023,8,9,Wind,Winter,2391,42,Saturday,February
9/16/2022,6,7,Wind,Fall,1953,259,Friday,September
10/13/2025,3,4,Wind,Fall,6119,286,Monday,October
7/3/2025,0,1,Wind,Summer,5539,184,Thursday,July
12/7/2022,23,0,Wind,Winter,1410,341,Wednesday,December
2/10/2024,3,4,Wind,Winter,4487,41,Saturday,February
7/9/2021,3,4,Wind,Summer,1208,190,Friday,July
2/16/2025,0,1,Wind,Winter,4574,47,Sunday,February
11/24/2024,10,11,Wind,Fall,21544,329,Sunday,November
12/11/2024,19,20,Wind,Winter,5916,346,Wednesday,December
5/20/2025,21,22,Wind,Spring,5566,140,Tuesday,May
1/21/2022,9,10,Wind,Winter,5002,21,Friday,January
1/30/2025,7,8,Wind,Winter,5813,30,Thursday,January
1/29/2021,17,18,Wind,Winter,12983,29,Friday,January
4/19/2024,5,6,Wind,Spring,9003,110,Friday,April
12/1/2020,12,13,Wind,Winter,8412,336,Tuesday,December
2/19/2024,3,4,Wind,Winter,4002,50,Monday,February
9/21/2023,13,14,Wind,Fall,6474,264,Thursday,September
3/17/2025,2,3,Wind,Spring,5489,76,Monday,March
8/2/2024,18,19,Wind,Summer,7412,215,Friday,August
7/15/2020,3,4,Wind,Summer,1451,197,Wednesday,July
10/15/2022,16,17,Wind,Fall,8245,288,Saturday,October
5/11/2025,10,11,Solar,Spring,3050,131,Sunday,May
1/21/2025,13,14,Solar,Winter,5754,21,Tuesday,January
8/2/2023,8,9,Wind,Summer,15356,214,Wednesday,August
10/6/2025,19,20,Wind,Fall,2272,279,Monday,October
3/22/2024,16,17,Solar,Spring,7952,82,Friday,March
4/4/2021,2,3,Wind,Spring,6551,94,Sunday,April
11/8/2022,6,7,Wind,Fall,13306,312,Tuesday,November
9/19/2023,9,10,Wind,Fall,7887,262,Tuesday,September
5/5/2022,16,17,Solar,Spring,6137,125,Thursday,May
3/16/2021,3,4,Wind,Spring,3759,75,Tuesday,March
3/18/2023,21,22,Wind,Spring,4032,77,Saturday,March
1/4/2023,19,20,Wind,Winter,13392,4,Wednesday,January
1/5/2021,19,20,Wind,Winter,1794,5,Tuesday,January
12/7/2020,22,23,Wind,Winter,3434,342,Monday,December
4/24/2024,15,16,Wind,Spring,11510,115,Wednesday,April
4/27/2025,16,17,Solar,Spring,3352,117,Sunday,April
10/16/2021,7,8,Wind,Fall,1545,289,Saturday,October
4/17/2022,9,10,Wind,Spring,6232,107,Sunday,April
11/15/2022,10,11,Wind,Fall,10920,319,Tuesday,November
1/6/2021,1,2,Wind,Winter,1467,6,Wednesday,January
6/9/2020,11,12,Solar,Summer,4734,161,Tuesday,June
3/14/2023,17,18,Wind,Spring,10320,73,Tuesday,March
1/31/2021,17,18,Wind,Winter,5433,31,Sunday,January
1/28/2021,22,23,Wind,Winter,9207,28,Thursday,January
2/14/2023,20,21,Wind,Winter,4137,45,Tuesday,February
8/29/2024,10,11,Solar,Summer,5199,242,Thursday,August
10/3/2022,13,14,Solar,Fall,5084,276,Monday,October
2/23/2022,10,11,Solar,Winter,3903,54,Wednesday,February
8/24/2025,7,8,Wind,Summer,3233,236,Sunday,August
2/6/2021,12,13,Wind,Winter,3255,37,Saturday,February
4/29/2023,15,16,Solar,Spring,4800,119,Saturday,April
4/22/2023,4,5,Wind,Spring,4492,112,Saturday,April
5/24/2020,13,14,Solar,Spring,5849,145,Sunday,May
2/7/2023,16,17,Wind,Winter,6303,38,Tuesday,February
7/6/2022,3,4,Wind,Summer,3439,187,Wednesday,July
11/25/2023,22,23,Wind,Fall,3662,329,Saturday,November
12/9/2022,14,15,Wind,Winter,3163,343,Friday,December
12/15/2020,0,1,Wind,Winter,5961,350,Tuesday,December
3/10/2022,21,22,Wind,Spring,6888,69,Thursday,March
6/15/2024,16,17,Wind,Summer,10230,167,Saturday,June
10/27/2025,10,11,Wind,Fall,20785,300,Monday,October
7/2/2020,23,0,Wind,Summer,3158,184,Thursday,July
9/21/2021,18,19,Wind,Fall,2741,264,Tuesday,September
4/3/2022,20,21,Wind,Spring,1788,93,Sunday,April
1/4/2025,22,23,Wind,Winter,10639,4,Saturday,January
9/6/2021,16,17,Solar,Fall,4649,249,Monday,September
1/12/2022,10,11,Wind,Winter,3948,12,Wednesday,January
3/3/2023,17,18,Wind,Spring,5441,62,Friday,March
11/21/2021,12,13,Wind,Fall,3618,325,Sunday,November
7/28/2022,20,21,Wind,Summer,1737,209,Thursday,July
1/28/2023,21,22,Wind,Winter,2799,28,Saturday,January
12/22/2024,11,12,Wind,Winter,19928,357,Sunday,December
3/12/2024,3,4,Wind,Spring,4768,72,Tuesday,March
11/11/2022,17,18,Wind,Fall,2888,315,Friday,November
11/7/2024,21,22,Wind,Fall,3242,312,Thursday,November
6/27/2024,3,4,Wind,Summer,839,179,Thursday,June
11/23/2020,14,15,Solar,Fall,2374,328,Monday,November
6/19/2025,22,23,Wind,Summer,6052,170,Thursday,June
8/7/2024,2,3,Wind,Summer,1802,220,Wednesday,August
7/5/2020,15,16,Wind,Summer,10632,187,Sunday,July
5/27/2023,11,12,Solar,Spring,8746,147,Saturday,May
4/21/2021,5,6,Wind,Spring,1068,111,Wednesday,April
9/15/2024,20,21,Wind,Fall,3333,259,Sunday,September
7/1/2025,6,7,Wind,Summer,1421,182,Tuesday,July
9/9/2024,9,10,Wind,Fall,9339,253,Monday,September
9/12/2021,10,11,Solar,Fall,3552,255,Sunday,September
1/13/2022,4,5,Wind,Winter,2645,13,Thursday,January
7/23/2025,1,2,Wind,Summer,1307,204,Wednesday,July
8/27/2023,2,3,Wind,Summer,1781,239,Sunday,August
2/19/2024,6,7,Wind,Winter,3287,50,Monday,February
6/16/2022,16,17,Solar,Summer,5124,167,Thursday,June
9/11/2025,3,4,Wind,Fall,10615,254,Thursday,September
6/27/2021,23,0,Wind,Summer,748,178,Sunday,June
6/13/2025,6,7,Wind,Summer,2429,164,Friday,June
12/10/2020,9,10,Wind,Winter,4988,345,Thursday,December
11/29/2022,20,21,Wind,Fall,1194,333,Tuesday,November
11/13/2021,4,5,Wind,Fall,5812,317,Saturday,November
7/22/2025,16,17,Wind,Summer,13809,203,Tuesday,July
2/21/2024,23,0,Wind,Winter,15375,52,Wednesday,February
8/7/2021,21,22,Wind,Summer,9544,219,Saturday,August
11/24/2023,10,11,Wind,Fall,9941,328,Friday,November
6/3/2021,19,20,Wind,Summer,1771,154,Thursday,June
12/2/2020,20,21,Wind,Winter,2043,337,Wednesday,December
4/29/2023,7,8,Wind,Spring,1622,119,Saturday,April
4/16/2021,11,12,Solar,Spring,7807,106,Friday,April
2/13/2020,13,14,Wind,Winter,13233,44,Thursday,February
11/21/2021,13,14,Wind,Fall,3948,325,Sunday,November
12/18/2023,3,4,Wind,Winter,2101,352,Monday,December
6/1/2020,10,11,Solar,Summer,4181,153,Monday,June
7/24/2025,15,16,Solar,Summer,9540,205,Thursday,July
6/24/2023,13,14,Solar,Summer,8820,175,Saturday,June
3/7/2022,12,13,Wind,Spring,10894,66,Monday,March
10/21/2021,1,2,Wind,Fall,13513,294,Thursday,October
2/11/2024,1,2,Wind,Winter,9448,42,Sunday,February
9/7/2023,17,18,Solar,Fall,4368,250,Thursday,September
11/25/2023,13,14,Wind,Fall,10661,329,Saturday,November
10/2/2020,14,15,Wind,Fall,6441,276,Friday,October
1/5/2022,10,11,Wind,Winter,6918,5,Wednesday,January
3/28/2022,19,20,Wind,Spring,1643,87,Monday,March
9/1/2020,8,9,Wind,Fall,1448,245,Tuesday,September
9/19/2025,16,17,Solar,Fall,10145,262,Friday,September
11/3/2023,11,12,Wind,Fall,10759,307,Friday,November
11/25/2020,19,20,Wind,Fall,3453,330,Wednesday,November
10/1/2022,1,2,Wind,Fall,13589,274,Saturday,October
8/2/2021,0,1,Wind,Summer,1434,214,Monday,August
8/8/2020,10,11,Solar,Summer,2968,221,Saturday,August
9/14/2022,3,4,Wind,Fall,1861,257,Wednesday,September
5/31/2021,8,9,Wind,Spring,3833,151,Monday,May
12/27/2023,15,16,Wind,Winter,12667,361,Wednesday,December
8/1/2024,19,20,Wind,Summer,4264,214,Thursday,August
4/4/2023,19,20,Wind,Spring,4139,94,Tuesday,April
5/3/2024,0,1,Wind,Spring,9022,124,Friday,May
9/15/2024,22,23,Wind,Fall,4322,259,Sunday,September
9/13/2021,6,7,Wind,Fall,1809,256,Monday,September
12/7/2021,18,19,Wind,Winter,13600,341,Tuesday,December
11/30/2023,4,5,Wind,Fall,1780,334,Thursday,November
3/10/2022,1,2,Wind,Spring,6777,69,Thursday,March
3/30/2022,11,12,Solar,Spring,2186,89,Wednesday,March
8/9/2022,3,4,Wind,Summer,6466,221,Tuesday,August
5/4/2023,17,18,Wind,Spring,9901,124,Thursday,May
12/13/2023,10,11,Wind,Winter,6869,347,Wednesday,December
9/29/2022,13,14,Solar,Fall,4400,272,Thursday,September
8/28/2024,13,14,Solar,Summer,10829,241,Wednesday,August
9/17/2024,8,9,Wind,Fall,10111,261,Tuesday,September
1/6/2020,11,12,Wind,Winter,5665,6,Monday,January
9/7/2022,16,17,Wind,Fall,6353,250,Wednesday,September
10/21/2022,2,3,Wind,Fall,7894,294,Friday,October
5/26/2021,19,20,Wind,Spring,4996,146,Wednesday,May
6/26/2022,4,5,Wind,Summer,1831,177,Sunday,June
7/13/2025,20,21,Wind,Summer,3952,194,Sunday,July
6/29/2024,7,8,Wind,Summer,4387,181,Saturday,June
11/8/2024,14,15,Solar,Fall,4482,313,Friday,November
7/11/2022,10,11,Solar,Summer,7469,192,Monday,July
1/10/2022,6,7,Wind,Winter,1005,10,Monday,January
3/21/2025,0,1,Wind,Spring,7350,80,Friday,March
