Appliances,lights,T1,T2,T3,RH_1,RH_2,RH_3
40,0,19.5,18.7,19.8567,46.23,46.1267,45.2
60,0,23.5,22.37,24.39,41.6267,41.076,38.79
20,0,20.29,19.6333,19.89,44.5,43.8267,43.7
110,0,22.79,20.6333,24.5333,44.3633,45.1567,40.2
40,0,19.5,18.29,19.79,41.29,41.5,40.7
70,0,19.4633,16.3233,20.0333,38.4,42.93,37.03
170,0,23.29,22.26,23.3233,34.43,31.9633,35.8267
80,0,21.4267,21.1,22.29,45.4,42.9333,40.09
50,0,21.6,18.89,22.2,37.4,40.2,37.3267
120,0,24.8923,25.1,26.4302,46.4091,42.4895,41.4124
70,10,23.5,24.2,23.26,34.53,30.23,33.9667
300,0,22.79,22.4267,25.93,41.7333,40.0267,40.86
30,0,19.89,19.2,20.5,45.5,44.9667,44.29
50,0,21.1,18.2,22.39,39.59,43.9,38.8633
80,0,22,20.76,23.7225,42.79,43.53,38.2
120,0,21.9633,20.6,23.0333,40.9,41.79,38.53
60,10,22.2,19.7,21.8233,37.3267,39.73,36.53
110,30,22.29,20.89,22.3233,40.1267,37.8633,37
50,0,19.89,16.6,20.29,36.9,41.4,37.56
40,0,21.76,19.29,22,38.59,40.09,37.2
50,20,17.79,16.79,18.2,37.8267,37.1633,38.8633
590,0,21.29,20.39,20.912,40.23,40.4,39.54
80,20,19.6,18.4633,19.79,38.59,39.73,37.5
50,0,20.6333,19.6,20.5,43.1267,43.26,44.5
30,10,23.7,22.39,24.5,41.4,40.7,38.5257
20,10,21.2,20.29,21.6,47.29,47.4,46.79
60,10,22.2386,20.39,20.79,37.0129,37.29,38
70,0,25.6,26.6,26.2,46.7,40.874,44.09
40,10,18.79,18.1,20,45,45,45.26
20,0,19.79,19,18.6,37.2,36.73,38.23
40,0,21.79,23.1,22.79,37.76,34.5,35.79
30,0,20.79,18.1,22.1,36.23,39.59,36.6633
60,0,22.2,20.39,23.5,41.73,43.8267,40
130,0,23.6,26.776,25.2,39.2,33.634,37.56
80,10,18.39,17.7,19.5,43.76,42.6267,43
470,0,21.89,21.89,24.1333,45.9667,44.49,42.6
130,20,23,22.39,22.6,44.3633,40.9333,43.7
820,0,22.5,21.23,25.0333,47.8667,45.6567,39.79
90,0,19.3567,19.025,19.26,45.4633,44.4725,43.93
40,0,18.7,18,19.7,46.29,46.5,44.59
100,20,21.7,21.1333,22.6667,41.59,40.3633,39.06
60,10,22.89,20.8471,24.6,42.79,44.7829,39.53
290,0,20.9267,19.29,21.9633,35.4333,33.56,35.7
150,20,22.1,20.1667,22.89,47.6,49.0333,39.6333
110,30,21.7,21.0667,22.5,41.03,39.99,38.7
300,0,21.39,20.2,23.2267,37.9,38.23,39.0267
70,0,20,18.1,21,38.4,39.9,40.5
50,0,22.2,20.29,23.5,41.4,43.53,39.76
60,0,21.5,18.79,22.29,38.73,42.045,39.09
70,0,21,19.3233,21.7,43.4,44.5,42.59
120,0,22,20.0333,22.39,38.59,39.3267,37.59
60,20,21.6,21,20.5,44.2,43.7,45.59
50,0,23.9633,21.04,24.1,34.9333,36.736,35.334
60,10,21.7,20.7,22.29,46.53,45.9,44.53
40,0,20.6,20,20.2,46.1267,44.5,45.4
300,0,23.838,25.1,26.134,49.692,43.6133,43.66
80,0,22.9633,25.5333,23.2,27.2333,21.76,30.6633
60,0,21,17.89,22,38.1633,42.1,36.56
90,0,20.73,19.1333,20.6,45.6933,42.23,41.23
30,0,19.5,18.9633,21.0667,42.1333,41.0667,44.99
50,0,22.2,21.89,22.5,39.73,38.4667,38.4
40,0,18.8567,17.89,19.6,43.7233,44.09,43.09
60,0,24.7,23.29,26.5,47.29,48.4667,41.834
50,0,23,20.39,24.39,40.79,43.9,39.2
120,10,19,17.6,18.73,38.9667,39.7233,38.7
30,0,17.79,17.1,18.4633,42.8633,42.5,43.59
30,0,17.79,16.745,18.1,40.7,41.2,40.09
50,0,20.29,17.7,20.9633,35.59,37.6267,36.03
50,0,24.6,23.9175,26.2,38.4,36.295,37.7
100,0,21,20,21.29,34.9667,34.2,34.4333
20,0,21.79,19.1667,22.26,37.4,40,37.2
130,0,22.9633,21.2,23.1,38.6667,38.2,35.76
50,0,21.6,20,20.7,37.5,36.9,38.5
40,10,20.79,18.5,21,38.29,39.8267,40.1267
70,0,20.89,20.1,21.4267,44.79,43.195,43.4333
60,0,21.2,20.6,21.79,43.79,42.29,45.59
40,0,19.9267,17.5,20.7,37.9,40.26,39.9667
100,10,19.89,17.6,20.1,37.5,39.76,36.76
60,0,25.6,26.1,26.29,46.7,43.09,43.5
70,10,18.1,16.79,18.39,36.9,37.7,37.4333
420,0,19.7,17.5,20.43,38,39.1567,38.8633
40,0,21,19.1,21.2,39.045,39.3267,38.29
60,0,20.89,20.29,21.4633,36.23,35.0967,35.4
60,0,20.89,18,23,41,44.6267,39.59
40,0,18.0333,17.1,19.1,43.4333,44.2,41.9333
40,0,20.5,17.7,20.89,37.2,40.09,37.7
30,0,21.89,19.1,21.79,36.7,39.73,36.5
290,0,21.89,19.6,24.3267,44.86,47.9633,42.2967
110,20,22.73,21.5,23.1,43.9667,43.5,40.7
50,0,21.0667,17.79,21.5,35.5,38.29,35.09
50,0,20.4267,18.3233,20,35.6267,37.4,37.4143
60,0,25.2,26.39,26.2,37,31.6,37.754
50,0,21.1,19.5333,21.7,35.4,36.5,35.09
50,0,21.2,18.2,22.39,38.03,41.29,37.9
40,0,20.5,19.79,20,44.26,43.7,43.3267
70,0,22.79,21.39,23.2,37,37.1267,36.79
90,0,21,19.7,20.5,36.5,35.9667,37.23
100,0,21.7,21.0333,22.5,42.6567,42.1633,39.86
30,0,21,17.6,22.2,36.9633,41.8333,34.7
60,0,21.1,19.6,21.79,40.59,42.03,38.1267
30,10,19.5,16.7,20,39.2667,42.3,37.03
70,0,21,17.6,22.39,36.53,41.1633,34.79
260,0,23.39,21.7643,24.76,37.915,38.9571,38.26
30,0,19.79,17.9633,20.89,36.26,37.53,35.9
50,0,21.6,21.0667,21.39,40.06,39.09,41.53
50,0,21.29,22.3333,22.6,37.145,35.6967,34.5
80,0,22.29,20.89,21.3757,37.2,37.545,37.59
60,0,19.89,18,19.6,33.5,34.56,35.4
50,20,21.89,19.7,21.73,34.7,36.1633,34.7233
50,0,22.6333,21.7,22.89,37.6267,37.4667,37.9667
80,0,23.7,23.73,23.245,32.7333,29.99,34.745
60,0,22.3233,21.4267,21.5,41.2,40.29,42.59
50,0,21.39,18.7,22.39,39.4,43.2,38.3633
40,0,20.6,17.89,21.0333,37.2,40.03,37.6267
90,10,21.7,20.2,21.26,41.3267,41.86,40.6633
60,0,22.4214,21,21.3471,36.9286,37.4571,37.5
60,0,20.9633,20.26,22.39,43.8667,40.1267,44.9
30,0,18.5,17.39,18.89,38.76,38.53,39.6933
260,20,23.5,22.29,26.4633,49.03,47.7233,40.6
70,30,25.5,25.1,26.6,42.7,40.3267,39.2
60,0,24.6333,21.89,24.39,38.23,40.2386,32.4333
70,20,22.6,20.39,25.39,41.9,43.4633,40.59
30,0,20.1333,18.29,19.7,33.29,33.9333,35.2
60,0,21.9267,20.6667,23,44.5,45.6633,41.76
90,0,23.5,24.176,25,39.3633,37.32,37.79
80,0,22.1667,21.2,22.6557,41.36,40.1933,40.9071
140,0,20.1,16.79,20.39,38.6933,42.4,37.4
50,0,20.79,21,21.39,35,33.03,34.9
60,0,25.3233,24.29,26.7514,43.09,42.3267,39.6686
80,0,25.29,25.29,26.79,47.26,45.154,42.09
50,0,23.1,20.89,23.89,35.9333,37.59,37.1267
400,0,20.89,18.29,22.6,41.29,45.5,38.4
50,0,21.7,20.89,21.5,41.5,40.5,42.5
110,20,22.7,19.8567,22.79,37.76,40.86,35.6267
40,0,21.79,21.2,22.6333,45.53,43.8267,45.09
50,0,23.89,20.9686,24.1286,35.06,37.0257,35.3214
50,0,21.3233,18.79,21.39,37.4,39.7,37.5
80,10,21.39,20.79,21,45.03,43.8267,46.6633
70,10,25.1,27.272,25,32.6333,26.85,36.29
90,0,24.79,28.1714,24.89,32.7967,27.6429,36.4
40,0,23,20.2,23.1,38.09,40.79,38.59
110,20,21.79,20.4725,21.6,43.56,44.2675,42.4
70,0,22.6,21.6,23,39.06,39.36,38.6267
70,20,21.5,20.6,20.7,38.4,37.79,41.425
110,0,21.1,19.79,22.5,47.1267,47.1567,42.79
120,0,23.39,21.5,22.8567,36.79,37.73,35.9
40,0,21.8567,22.6,22.5,35.7,32.2,35.5
60,20,22.5333,20.89,23.1333,43.76,44.09,40.59
50,0,25.6,23.8567,25.9371,39.4,40.09,34.2657
50,0,21.39,18.3567,22.4633,38.53,42.2,38.9
100,0,24.6,24.9686,24.79,39.2633,33.9543,34.26
50,0,24.5673,23.8676,27.1065,51.3635,49.9944,45.3373
50,0,20.9267,19.89,20.39,43.2,43.29,44.29
60,0,24.89,22.254,24.89,39.03,41.156,33.5
50,0,21,18.1,22.39,39.7667,44.1567,38.8267
50,0,25.1667,25.64,26.7,47.29,43.9,42.09
390,10,21.89,21.2,20.5,41.73,40.9333,44.26
20,0,20.1,18.26,20.2,36.2,37.4,38.2
100,20,24.8127,24.7919,26.5615,47.5885,44.3236,42.3427
40,0,18.6667,17.89,18.1333,36.76,35.86,37.76
60,0,25.29,24.1,26.15,48.7,48.134,45
50,0,22.6,21.7,24.1667,38.9333,37.6633,36.5
60,0,19.7,18.3233,19.9843,34.1933,34.4333,36.09
80,10,22.29,20.1,22.2,36.2,38.0667,35
60,0,21.79,20,21.2,34.6633,35.1633,35.045
190,0,21.39,21.29,22.1,44.29,42.86,39.9667
80,0,23.0667,25.23,23.0333,27.43,22.3567,31.6233
60,0,22,19,22.8233,38.4333,42.7,37.53
180,20,18.5333,18.025,19.29,43.4,42.1175,42.4
50,0,20.1,17.29,20.76,37.2,40.5,37.7
250,0,23.29,22.6,24.0667,39.06,36.96,40.9233
110,0,21.23,19.7,22.2,39.99,39.3175,40
70,0,22.2,19.9267,23.5,37.09,39.29,37.8633
50,0,21.6,21.1,21.39,40,39.09,41.5
100,20,23.2,22.73,22.6,46.5,43.6633,44.9822
50,0,22.1,18.89,24.1,40.9,46.26,39.2
90,0,21.26,19.6,21.89,39.6633,40.79,37.5
50,50,21.7,20.7,22.3233,46.59,45.9633,44.3633
60,0,25.39,23.9843,26.39,49,48.8843,44.8633
50,0,24.79,23.7,25.4633,38.79,37.9333,37.9667
50,0,22.2,20.29,23.5,41.4,43.59,39.79
50,0,21.23,19.5,21.79,36.4,38.1567,36.29
110,30,23,22.39,22.39,44.2,42.59,44.3878
60,0,19.3567,18.675,18.6,38.79,38.2,39.7
70,20,22.6,20.5,22.5333,39,40.8633,38.09
340,10,24.4179,25.1,26.2969,47.8864,42.9952,42.4238
70,20,22,18.5,22.5,38.7,42.59,37.79
80,20,20.1,18.1,20.15,39.06,39.8633,39.345
70,0,17.39,16.39,17.89,36.6267,36.8267,37.4667
70,0,24.7,23.02,26.2,47.7,49.834,43
50,0,21.7,20.0333,23.1,44.59,46.73,41.79
420,0,22,20.2,22.79,42.8267,43.5,38.9667
90,0,22.5667,19.79,24.26,42.06,44.1933,39.26
50,30,23.29,22.73,23.79,42.2,41.1633,43
40,0,19.6,18.79,19.8233,46,45.9,45.23
110,0,21.39,22.36,22,39.4,38.2233,37.59
290,20,23.2,22.0111,22.4267,41.2267,39.0872,45.7
80,20,21.9267,20.7,23.2,42.56,43.59,39.2
40,0,19.5,17.4633,19.7,34,35.26,36
60,0,22.1,19.1,23.7,42.1333,46.2,38.8633
70,0,24.5,21.978,24,32.7,33.894,33.9667
340,0,22.2,21.7,21.79,45,42.53,43.9661
50,0,23.29,21.6714,24.29,38.53,38,36.2
50,0,23.1,21.5,24.89,45.29,46.9,42.09
270,10,21.6333,20.79,25.3233,37.3633,36.6333,39.26
50,0,23.26,21.6,24.5,41.26,41.79,39.4
60,0,23.1,21,23.4633,34.5,35.4667,36.4667
60,0,25.1,23.5286,26.39,48.09,48.79,45.2257
90,0,21.625,19.79,21.89,45.7225,44.2667,38.06
40,0,19,18.39,19.26,41.2,40.4,42.7
60,0,23.6,24.76,23.1,30.4,26.0667,32.7
50,0,21.9214,20,20.7225,36.4857,37,37.9
60,0,20.6,18.5,19.9371,35.5,37.29,37.29
70,0,20.5,19.8425,20.89,34.53,36.7425,34.09
90,0,23.39,21.6,24.89,45.9667,47.2,40.79
50,0,20,17.7,20.6,35.6267,37.4667,35.5
410,20,16.79,16.1,17.2,45.29,45.3633,42.59
50,0,19.79,17.39,20.1,37.29,39.79,38.9
90,0,22,21,23.6333,44.6933,41.6667,35.3933
70,0,21.39,20.7,22.5,43.5667,42.56,41.9667
140,10,16.89,16.2,17.3567,44.6633,44.4667,42.5
280,0,23.1,24.23,24.46,48.8633,46.46,43.6933
40,10,18.2,17.2,18.5,39.59,38.93,39.9
50,0,21.29,21.5333,22.29,41.23,40.1333,38.4
70,0,22.89,22.4,24.1,40.4,40.3667,37.09
50,0,20.79,20.29,20.9633,43.7,41.29,42.2
50,0,20.6,19.1667,21.79,38.03,37.7,36.79
90,0,20.7,19.6,20.6333,38.32,38.1267,39.29
150,0,19.79,18.1667,20.1,35.4333,35.53,35.73
70,10,22.0333,19.6,21.2,37.4333,39.8267,37.5
200,20,19.76,18.5667,19.7,36.9,36.06,36.4286
20,0,20.1,19.0667,20.3233,40.3633,38.4667,37.26
60,20,22.39,21.6,21.9878,44,43,44.2
50,0,20.7,17.84,20.1,37.9,40.645,38.09
30,0,19.89,19.39,20.0667,35.5,34.56,35.6333
80,0,21.79,20.39,22.79,38.7,40.59,37.2
60,10,21.26,18.1,23.0667,41.9667,47.1633,38.5
50,0,21,17.7,20.8567,37.5,40.59,37.76
90,10,24.8809,25.0486,26.4102,46.5398,42.7484,41.5109
40,0,21.7,19,22.89,37.2,40.09,37.1267
60,0,22.3567,19.79,22.39,39.2,41.59,38.9
60,0,24.29,22.89,25.9633,39.3267,39.4667,37.16
50,0,20.89,21.29,21.8567,37.09,35.7233,35.09
180,0,21.9633,21.39,21.89,39.26,37.6633,41.3267
50,0,21.39,23.89,22.0333,41.0333,34.84,36.9333
70,20,22.39,21.5,22,45.9333,45.2667,44.8975
80,0,17.6,16.5,18,36.3633,36.7,37.53
80,0,24.7,22.79,26.39,47.9,50,43.036
70,0,24.8233,27.7,26.2,39.7667,32.8725,37.59
30,0,21.4267,18.5,22.79,40.03,44.4,39.2
50,0,22.5,19.29,23.29,39.09,44.1633,39.5
70,0,23.5,22.85,24.6,36.8,35.5957,36.3214
60,30,21.4633,19.4267,21,39,39.79,39.3267
80,0,22.7,21.1333,21.6,32.4967,30.3933,34.06
50,0,23.23,20.6667,23.2,38.29,40.3633,38.59
70,0,21.5,18.9633,22.79,38.2,41.53,38.2
110,10,20.79,19.2,20.6,37.26,38.1633,36.3633
40,0,19.6,18.79,19.8233,45.09,44.2,44.6267
30,0,19.29,18.6,19.79,46.59,46.5,45.2
80,0,20.5333,19.1,21.2,42.53,43.4,41.26
20,0,20.1,19.29,20.5,45.1633,44.59,44.23
50,0,21.5,18.8233,22.39,39.1633,42.83,38.09
590,20,21.1,20.6,21.8567,43.8267,41.7,47.73
60,0,20.1333,18,20,35.7,37.59,37.6529
60,0,22,19.7225,22,39.5,42,38.29
60,0,20.7,19.39,21.76,38.4667,37.9,37.76
50,0,21.5,18.7,22.79,40.29,44.4333,39.29
60,0,20.79,17.79,23,40.79,44.7,39.53
210,20,23.2,22.79,22.5389,48.0933,43.7233,45.3172
470,10,21.39,21.0667,23,39.59,39.56,37.09
40,0,22.29,20.5571,20.8471,37.1786,37.29,37.9571
30,0,19.5,18.7,19.89,46.09,46.09,45.29
80,0,23,21.29,23.73,35.1633,33.6567,33.29
50,0,19.5,16.26,20.6,37,41.4,37.9333
40,0,20.79,18.89,21.6,43.23,46.2,39.7
90,0,19.29,18.7,19.29,40.6633,39.7,42.09
110,0,22,20,22.39,38.56,39.29,37.59
130,0,22.7,21.1,22.6,37.8,37.06,35.9
300,10,22.1333,21.89,22.6667,45.4,43.59,49.3633
130,0,22.39,22.1,22.7,43.7,41.93,41.2
80,0,21.1,19.6,23.26,40.09,39.7233,37.5267
40,0,22.1,19.1,22.6,35.8633,38.1267,35.8633
310,0,22.5333,22.1667,24.86,43.8667,40.8333,39.1567
40,0,21.0333,19.6,21.89,39.09,40.5,37.4
90,0,23,20.73,22.84,42.0633,41.9567,37.4475
150,10,16.89,16.2,17.29,44.56,44.4,42.3267
140,0,21,19,21.7,41.5567,38.1333,35.9
50,0,20,19,20.29,39.7,37.8333,36.9
430,10,20.1333,18.9267,19.76,41.9,42.7967,40.9967
350,0,22.1,22.34,24,38.4,36.4,35.4333
40,0,19.6,18.29,19.79,41.23,41.59,40.7
60,0,23.0333,21.3567,24.9633,45.59,47.4,42.26
40,0,20.76,19.1,20.245,40.53,40.4,40.245
70,10,21.7,19.1333,21.7,37.8267,39.9333,36.5
50,0,20.79,18.79,21,36.7,38.245,38.79
100,0,20.89,20.1,21.39,44.545,42.8633,43.5
30,0,21.5,20.9633,22.6,45.9,43.9,45.09
50,0,22.39,19.6,23.23,35.5,37.76,37.1267
50,0,24.1,22.39,25.39,47.7,49.4667,42.59
50,0,20.6,17.7,20.1,36.7,40.4333,36.73
60,0,21.23,20.5,21.6,45.3633,43.06,43.79
80,20,21.89,19.39,23.5333,42.1267,46.2,38.4667
390,10,22.4967,21.5594,21.1933,43.1933,38.9033,43.7233
20,0,19.6,17.2,20.1,37.2,39.79,38.59
50,0,23,20.3233,24.15,41.2,44.3633,38.345
120,0,25.6,25.1,26.2,49.06,46.6686,45.3371
90,0,22.1,20.0667,22.7,36.1633,37.59,34.5
40,0,18.6,17.26,19.0667,40.5,40.9667,39.8633
140,0,25.39,25.26,25.39,37.56,35.3667,36.4333
230,0,19.5,18.53,19.8233,38,39.63,36.9333
30,0,17.945,17.1333,19,44.2,44.59,42.1267
50,0,20.6,18.6,19.89,35.5,37.23,37.2386
80,20,22.73,22,22.39,27.86,26.03,34.6267
70,20,23.7,22.745,23.6,45.29,43.79,44.7
30,0,20.2,17.7,20.89,35.5,37.8633,36.09
160,0,20.2,19.29,20.39,43.9233,41.3333,41.3267
50,10,22.8233,21.4267,23.5,41.7933,41.9633,39.4
100,0,22.7,20.29,24.39,43.4633,44.79,39.59
40,0,21.39,20.7,22.7,43.29,42.1267,42.2
40,0,20.4267,18.79,19.89,34.3267,34.925,36.59
140,20,21.0333,20.7,21,44.5267,42.0967,42.6267
50,0,21.89,19.6,23.76,42.5,45.8633,40.09
70,0,24.5,22,24,32.5,33.476,33.9
80,10,20.7,21.8667,21.4633,35.9,33.6233,34.7
40,0,21.29,18.3233,22.2,37.2,40.6267,37.4
80,0,22,23.9,23.2,36.7667,33.85,34.79
90,0,21.1,21.445,21.865,40.0267,37.145,38.0925
60,0,25.1,27.4267,26.1714,39.03,31.9633,38.4
100,0,21.7,18.79,23.9633,41.3633,46.8633,39
70,0,22.5,19.39,23.3233,37.73,41.79,38.8633
70,0,22.84,21.6333,23.1,36.95,36.56,36.7
50,0,23.6,26.26,24.315,40.29,33.23,37.59
40,0,21.2,19.8567,20.7,36.7,36.79,37
40,0,19.8233,18.89,19.1,37.23,36.9,39.56
60,0,21,19.1,21.3233,40,41.4,40.9
40,0,21.3567,18.4633,20.39,35.3633,38.3633,36.79
100,20,21.5667,20.6,21.5,47.8667,45.29,43.7
110,0,19,17.0333,19.39,35.5,37,35.53
80,0,22,19.9267,22.29,38.5,39.3633,37.59
60,0,20.8233,18.79,20.79,38.03,38.9,39.73
60,0,20,17.7,20.5333,35.7,37.4,35.4333
50,0,21.1,19.4267,21.7,35.4,36.59,35
590,30,19.8567,18.7,18.4267,47.6633,34.1,37.8333
230,0,20.0333,18.5,20.6,38.1267,38.9667,37.23
90,0,23.2,24,24.29,41.7,38.23,39.5
90,10,21.1,19.89,20.1,35.6633,36.06,36.5
50,0,22.7,20.6,24.89,39.2,39.3267,36
300,0,22.6,20.3233,24.5667,40.26,43.2,38.53
140,0,22.9267,21.2,25.7,44.2667,45.03,39.83
50,10,21.7,20.29,22.1,44.2,44.4667,44
130,0,24.4491,23.4225,27.3688,53.1812,52.7248,46.7791
60,0,21.7,18.89,22.8567,40.5,44.3633,39.4667
60,0,20.7,17.1,22.0333,36.23,40.59,36.1267
40,0,20.1,19.29,20.5,45.2,44.7,44.23
60,0,21.29,18.23,22.2,39.23,43.2667,38
50,0,22.0333,20.2,20.865,34.23,35.3267,36.0675
60,30,21.79,20.89,23.1,46.23,46,46.1267
70,0,24.5036,23.6279,27.2477,52.3423,51.4646,46.1136
50,0,22.1,21.5333,23.5,41.6267,41.06,38.1267
110,0,22.2,20.6,22.2,39.6633,40.76,38
70,0,22.1,19.79,22.5,35.73,37.2,33.79
340,30,20.89,19.1,20.76,41.8,40.7233,42.06
30,0,21.6333,20.73,20.5,39.8267,39.5,41.9667
20,0,19.1,18.5,19.29,42.09,41.29,43.1267
100,20,20.2,18.4633,21.0667,40.9,41.59,40.09
90,0,21.29,18.7,22.5,39.9633,44.2,37.7
510,10,19.445,16.2,20.1333,38.45,43.0967,37.29
80,0,23.6,27.1257,25.2,39.2,33.3671,37.5
340,0,24.7809,24.6721,26.6322,48.0778,45.0587,42.7309
60,0,21.89,19.29,22.39,38.79,41.3633,38.9
90,0,20.89,19.6333,21.29,34.7,34.59,34.23
50,0,20.5,19.2,20,37.03,37.5,37.4
70,0,22.1,20.29,20.89,34.4333,35.5,36.1267
60,0,22.79,20.5,24.6,39.4,40.73,37.9
70,0,23.1333,22.5,21.7,42.8633,41.79,44.79
110,10,19.445,17,19.79,36.79,40.1633,36.59
60,0,20.29,19.5667,20.5,39.73,38.8633,40.2
80,20,20.89,20.2,21.815,42.3,41.02,40.79
70,0,21.5,18.2,23.23,36.3267,40,34.9267
60,0,24.89,28.9633,26.1,41.23,31.7233,38.6214
60,0,21.1,18.6667,22.2,41.4667,45.29,38.245
70,20,21.6,18.79,22.5,40.09,44.2225,38.29
40,10,20.6,18.79,21.5,43.59,45.3633,42.09
70,20,22.5,20.1333,21.89,37.29,39.3333,36.56
70,0,23.6,21.5,24.5,41.9,43.7,39.76
50,0,21.29,23.6667,22.0333,41.645,35.6333,36.86
60,0,24.4633,22.6667,25.7,39.06,39.7,38.79
60,0,21.5667,19.73,23.0333,44.56,46.59,41.6267
50,0,22.29,19.89,24.5667,41.79,44.1633,40
60,0,23.29,21.5143,24.2643,38.5,38.1971,36.29
190,0,19.6,17.89,20.1,36.59,38.2667,36.06
160,10,19.89,19.6,19,37.9,37.2,39.53
50,0,19.39,18.79,20.5,42.09,41.29,44.1633
60,30,20.7,19.39,21.39,44.7,45.59,42
50,0,21.89,23.5333,22.7,37.9,34.0267,35.9667
50,0,21,19.3567,20.2,33.06,33.3633,34.09
330,0,20.79,19.39,21.5,38.03,37.79,36.9
50,0,20.39,18.89,20.4633,37.3633,38.06,36.06
30,0,21.2,19.7,21.79,44.8267,45.1267,43.2
20,0,19.89,19.2,20.5,45.4,45,44.29
120,0,20.89,20.2,20.29,34.345,33.7,34.5
120,0,19.79,18.89,19.9633,39.1267,39.1333,39.6267
60,0,21.23,18.6,22.5,39.2267,43.4333,37.59
80,20,20.29,18.1,20.79,38.6567,40.13,36.29
120,0,23.1667,21.5,25.73,39.53,38.29,35.2
130,0,25.5,24.7,26.2,48.4,47.4414,45
100,0,24.7,24.0667,26.5667,52.1633,51.29,45.23
50,0,22.39,19.89,24.79,43.79,47.26,40.9667
60,30,21.89,20.7,21.79,38.2233,38.5267,37.23
190,30,22.1,21.7,22.1,50.1667,45.5667,46.79
70,0,21,20.2,20.3233,34.03,33.6567,34.6633
80,0,17.89,16.76,18.29,35.8633,37.2,37.5
300,0,21.4267,20.89,21.86,38.4667,36.4,38.39
50,0,19.8567,17.89,20.1,36.26,37.5267,38.2129
50,0,22.3233,23.3233,22.2,35.56,31.39,36.4333
80,0,20.29,18.1333,20.7,38.4333,40.26,39.59
40,0,23.2,21.7129,24.79,44.9,45.84,41.79
120,0,19.79,17.5,19.79,37,39.7233,36.59
300,10,22,20.79,22.5006,43.43,42.5667,47.3306
30,0,21.6,20.89,22.29,44.9,44.3267,45
60,10,21.39,18.79,21,35.83,37.53,35.23
90,30,22.39,22.1,22.1,47.1933,44.53,46.356
50,0,21.6,19.39,22.2225,38.5,41.2,37.3175
60,0,20.89,18.1,22.1,39.2,43,36.59
90,10,23.6,22.7771,24,37.3633,32.6057,34.44
30,0,22.73,24.39,23.26,37.76,32.6267,37.56
100,0,24.89,23.1,25.89,50.06,50.59,44.9333
40,0,21.79,19.1333,23,35,37.4667,36.79
80,20,25.1,23.3567,25.7,44.6267,44.5,41.79
450,0,26.1,26.39,29.0714,41.8267,38.06,37.9971
50,10,19.6,17.79,20.3233,41.0267,41.9633,40.7
60,0,19.7,17.89,20.29,41.06,41.9,40.7
40,0,20.0333,19.2,20.5,45.23,44.8633,44.4
120,10,22.79,21.23,22.7,37.76,37.03,36.9
50,0,20.89,17.89,21,35.6267,39.2,35.1267
50,0,24.6673,24.2441,26.8845,49.8255,47.6841,44.1173
110,20,20.6,18.79,20.1,33.73,34.4,35.2
90,0,25.4267,25.5,26.29,50.9633,47.5,46.3986
50,10,21.89,19.26,21.89,36.1267,38.59,35.7
70,0,23.5,24,24.39,40.23,36.7,38.29
130,0,20.29,20.23,20.5667,39.2,38,38.5
350,30,21.1667,20.29,22.945,44.9,42.845,43.045
750,10,21.5333,19.79,22.6,45.4667,47.6633,41.4633
60,0,20.39,17.6,20.89,37.09,40.09,37.6633
100,30,22.0667,20.5,22.2,40.3267,41.4633,38.1633
50,0,21.79,19.2,23.4267,42.7,44.73,40.53
100,20,22.6333,21.4267,22.29,43.23,43.6267,42.5
100,20,23.2,22.6333,22.5,45.1,43.1267,44.6022
20,0,21.5,19.5667,20.6,37.73,38.59,38.59
40,20,21.7,20.29,21.5,43.5,44.23,42.3267
40,0,19.1633,18.4267,18.29,36.8633,35.53,37.79
70,0,22.6,19.39,23.29,39.29,44.2,39.5
40,0,20.1,16.5,20.2,35.09,40.1633,37
440,0,22.79,22.1667,22.6,38.9667,38.73,38.29
210,10,21,19.2,20.9633,41.212,41.2,40.26
90,0,20.79,18.89,21.8233,38.6567,40.4633,35.4333
40,0,21.89,21,23.2,46.09,45.79,46.29
210,0,24,23.745,24.5667,41.6667,36.3038,37.06
130,0,20.1,19.93,20,37.8267,36.59,36.23
30,0,20,17.5667,21,38.2,41,37.23
50,10,21.29,20.1,20.79,36.7,37.06,36.6333
60,30,21.8567,21.29,21.6278,44.6633,42.79,45.4278
70,0,22.8233,21.6,23.5,41.53,41.2667,39.4333
40,0,22.3233,19.5667,22.79,35.4667,37.1267,35.7
60,10,20.29,18.2,20.7,38.0967,39.6267,39.73
50,0,21.2,18,21.89,38.26,42.1633,36.5
60,0,20.79,19,21.6,43.4,46.29,40.09
150,30,22.1,19.79,21.29,38.1333,39.2667,38.4333
40,10,23.2,21.39,24.2,38.56,38.3214,36.3529
130,20,20.39,18.1,20.2,41.6967,42,38.4
70,0,21.15,20.23,20.89,40.545,40.8633,39.378
60,0,24.29,22.79,26.3567,38.3267,38,38.29
80,0,22.5333,20.125,22.39,35.23,36.1725,35.53
80,0,21.5,21.1,21.7,46,44.8633,44.59
50,10,21.29,20.39,21.6,47.23,47.2,46.7
40,0,20,17.2,20.89,37.29,40.59,38
50,0,18.89,18.29,19.89,44.2,44,45.09
80,10,22.89,22.29,22.29,45.2,43.53,45.3633
40,0,18.39,17.5,18.5,38.79,38.79,39.29
50,0,20.6,18.6,19.89,35.5,37.29,37.29
40,10,18.6,17.5,18.89,39,38.3333,39.9
40,0,20.29,18.5,20.89,37.9,38.79,39.23
